href,titles,prices
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12139803&Area=search&mdiv=403&oid=1_23&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 10 V 5G 6.1吋(8G/128G),"6,511"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13211103&Area=search&mdiv=403&oid=1_24&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128GB),"11,111"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13490860&Area=search&mdiv=403&oid=1_25&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 5 IV 6.1吋(8G/256GB),"7,776"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12841338&Area=search&mdiv=403&oid=1_26&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"39,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11111763&Area=search&mdiv=403&oid=1_27&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A+級福利品 Xperia 5 IV 6.1吋(8G/256GB),"9,998"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12903772&Area=search&mdiv=403&oid=1_28&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素)(耳罩式耳機組),"36,490"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10632167&Area=search&mdiv=403&oid=1_29&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A級福利品 Xperia 5 III 6.1吋(8G/256G),"5,811"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13035942&Area=search&mdiv=403&oid=1_30&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),"39,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12985925&Area=search&mdiv=403&oid=2_1&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G/高通驍龍6 Gen1/4800萬鏡頭畫素),"10,790"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13402824&Area=search&mdiv=403&oid=2_2&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素)(手腕掛繩組),"44,190"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12841337&Area=search&mdiv=403&oid=2_3&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),"32,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13035941&Area=search&mdiv=403&oid=2_4&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 10 VI 6.1吋(8G/128G),"13,990"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11276916&Area=search&mdiv=403&oid=2_5&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】A+級福利品 Xperia 5 IV 6.1吋(8G/256GB),"9,555"
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13402641&Area=search&mdiv=403&oid=2_6&cid=index&kw=sony+%E6%89%8B%E6%A9%9F,【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),"33,911"
